text,true,pred,confidence,prob_pos,n_words,has_negation,has_contrast,correct
"never again , while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction .",0,1,0.9996687173843384,0.9996687173843384,22,True,True,False
absolutely ( and unintentionally ) terrifying .,0,1,0.9996678829193115,0.9996678829193115,7,False,False,False
"been there , done that , liked it much better the first time around - when it was called the professional .",0,1,0.9996678829193115,0.9996678829193115,22,False,False,False
"this is a children's film in the truest sense . it's packed with adventure and a worthwhile environmental message , so it's great for the kids . parents , on the other hand , will be ahead of the plot at all times , and there isn't enough clever innuendo to fil",0,1,0.9996659755706787,0.9996659755706787,52,False,False,False
"a very familiar tale , one that's been told by countless filmmakers about italian- , chinese- , irish- , latin- , indian- , russian- and other hyphenate american young men struggling to balance conflicting cultural messages .",0,1,0.9996646642684937,0.9996646642684937,37,False,False,False
some motion pictures portray ultimate passion ; others create ultimate thrills . men in black ii achieves ultimate insignificance -- it's the sci-fi comedy spectacle as whiffle-ball epic .,0,1,0.9996640682220459,0.9996640682220459,29,False,False,False
"it takes you somewhere you're not likely to have seen before , but beneath the exotic surface ( and exotic dancing ) it's surprisingly old-fashioned .",0,1,0.9996635913848877,0.9996635913848877,26,True,True,False
"harvard man is a semi-throwback , a reminiscence without nostalgia or sentimentality .",0,1,0.9996609687805176,0.9996609687805176,13,False,False,False
"the sight of the name bruce willis brings to mind images of a violent battlefield action picture , but the film has a lot more on its mind--maybe too much .",0,1,0.9996589422225952,0.9996589422225952,31,False,True,False
the sweetest thing leaves a bitter taste .,0,1,0.9996564388275146,0.9996564388275146,8,False,False,False
a film that plays things so nice 'n safe as to often play like a milquetoast movie of the week blown up for the big screen .,0,1,0.9996533393859863,0.9996533393859863,27,False,False,False
"one of the most plain , unimaginative romantic comedies i've ever seen .",0,1,0.9996532201766968,0.9996532201766968,13,False,False,False
"though uniformly well acted , especially by young ballesta and galan ( a first-time actor ) , writer/director achero manas's film is schematic and obvious .",0,1,0.9996492862701416,0.9996492862701416,26,False,True,False
"the film never gets over its own investment in conventional arrangements , in terms of love , age , gender , race , and class .",0,1,0.9996483325958252,0.9996483325958252,26,True,False,False
"while hollywood ending has its share of belly laughs ( including a knockout of a closing line ) , the movie winds up feeling like a great missed opportunity .",0,1,0.9996480941772461,0.9996480941772461,30,False,True,False
"hopelessly inane , humorless and under-inspired .",0,1,0.9996408224105835,0.9996408224105835,7,False,False,False
"this is very much of a mixed bag , with enough negatives to outweigh the positives .",0,1,0.9996404647827148,0.9996404647827148,17,False,False,False
the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .,0,1,0.9996399879455566,0.9996399879455566,14,False,False,False
a handsome but unfulfilling suspense drama more suited to a quiet evening on pbs than a night out at an amc .,0,1,0.9996352195739746,0.9996352195739746,22,False,True,False
"though its rather routine script is loaded with familiar situations , the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should .",0,1,0.9996351003646851,0.9996351003646851,31,False,True,False
narc is all menace and atmosphere .,0,1,0.9996342658996582,0.9996342658996582,7,False,False,False
is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?,0,1,0.9996339082717896,0.9996339082717896,23,False,False,False
